,manifolds,count<51,time
19,o9_43516,"[0, 6, 0, 4, 0, 8, 0, 8, 0, 16, 0, 8, 0, 24, 0, 16, 0, 24, 0, 16, 0, 40, 0, 16, 0, 48, 0, 24, 0, 32, 0, 32, 0, 64, 0, 24, 0, 72, 0, 32, 0, 48, 0, 40, 0, 88, 0, 32, 0]",32.002008425071836
20,t09753,"[4, 2, 4, 4, 8, 4, 12, 8, 12, 8, 20, 8, 24, 12, 16, 16, 32, 12, 36, 16, 24, 20, 44, 16, 40, 24, 36, 24, 56, 16, 60, 32, 40, 32, 48, 24, 72, 36, 48, 32, 80, 24, 84, 40, 48, 44, 92, 32, 84]",39.197965148836374
21,K15n129923,"[0, 2, 2, 1, 0, 3, 0, 2, 2, 4, 0, 4, 0, 6, 4, 4, 0, 8, 0, 4, 6, 10, 0, 8, 0, 12, 6, 6, 0, 12, 0, 8, 10, 16, 0, 10, 0, 18, 12, 8, 0, 18, 0, 10, 8, 22, 0, 16, 0]",75.33732302905992
22,K15n166014,"[0, 6, 0, 3, 0, 6, 0, 6, 0, 12, 0, 6, 0, 18, 0, 12, 0, 18, 0, 12, 0, 30, 0, 12, 0, 36, 0, 18, 0, 24, 0, 24, 0, 48, 0, 18, 0, 54, 0, 24, 0, 36, 0, 30, 0, 66, 0, 24, 0]",76.90326655237004
23,K15n140719,"[2, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 2, 0, 0, 6, 0, 0, 4, 0, 0, 6, 0, 0, 4, 0, 0, 9, 0, 0, 4, 0, 0, 11, 0, 0, 6, 0, 0, 7, 0, 0, 8, 0]",94.92047508992255
24,o9_40666,"[2, 2, 2, 2, 4, 2, 6, 4, 6, 4, 10, 4, 12, 6, 8, 8, 16, 6, 18, 8, 12, 10, 22, 8, 20, 12, 18, 12, 28, 8, 30, 16, 20, 16, 24, 12, 36, 18, 24, 16, 40, 12, 42, 20, 24, 22, 46, 16, 42]",25.226482127793133
25,K15n85521,"[2, 0, 4, 0, 0, 3, 0, 0, 6, 0, 0, 6, 0, 0, 12, 0, 0, 6, 0, 0, 18, 0, 0, 12, 0, 0, 18, 0, 0, 12, 0, 0, 30, 0, 0, 12, 0, 0, 36, 0, 0, 18, 0, 0, 24, 0, 0, 24, 0]",105.59672535629943
26,o9_43150,"[3, 1, 2, 2, 4, 2, 6, 4, 6, 4, 10, 4, 12, 6, 8, 8, 16, 6, 18, 8, 12, 10, 22, 8, 20, 12, 18, 12, 28, 8, 30, 16, 20, 16, 24, 12, 36, 18, 24, 16, 40, 12, 42, 20, 24, 22, 46, 16, 42]",12.923521345946938
27,K13n2194,"[0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",117.93732544919476
28,K13n1687,"[0, 8, 0, 4, 0, 8, 0, 8, 0, 16, 0, 8, 0, 24, 0, 16, 0, 24, 0, 16, 0, 40, 0, 16, 0, 48, 0, 24, 0, 32, 0, 31, 0, 64, 0, 24, 0, 71, 0, 32, 0, 47, 0, 39, 0, 88, 0, 32, 0]",121.31017681397498
