id,name,volume,tets,small,regina_small,nonnormal_iso,LW_dim,LW_euler,LW_comps,LW_dim_comps,LW_euler_comps,LW_inhom_comp,LW_max_vert_face,LW_verts_comp,LW_num_max_faces,tri_used,ess_face_time,regina_small_time,gen_func_time,by_genus_time,vertex_surfaces,vertex_genera,max_faces,all_faces,LW_euler_bound,gen_func,by_genus,by_genus_naive
44609,o9_44043,8.76486254579757,9,-1,,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[3],2.0,jLvALQQceefhighiihpuxbsvjjw,3.3896369934082,,1.37448191642761,71.3864068984985,"{""N12"":[0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1],""N2"":[0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1],""N7"":[0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0]}","{""N12"":3,""N2"":2,""N7"":2}","[{""dim"":1,""verts"":[""N2"",""N12""]},{""dim"":1,""verts"":[""N7"",""N12""]}]","[{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N2""]},{""dim"":0,""verts"":[""N7""]},{""dim"":1,""verts"":[""N2"",""N12""]},{""dim"":1,""verts"":[""N7"",""N12""]}]",-6.0,(-x^2 + 2*x)/(x^2 - 2*x + 1),"[2,1,2,2,4,2,6,4,6,4,10,4,12,6,8,8,16,6,18,8]","[2,1,2]"
44616,o9_44054,8.77345230531495,9,-1,,0.0,2.0,1.0,1.0,[2],[1],0.0,3.0,[4],2.0,jLLAwQPccedfghhiipwxgxaxgqw,2.81088805198669,,3.20005798339844,185.474002122879,"{""N9"":[0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1],""N4"":[0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1],""N5"":[0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1],""N7"":[0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1]}","{""N9"":2,""N4"":2,""N5"":2,""N7"":2}","[{""dim"":2,""verts"":[""N5"",""N7"",""N9""]},{""dim"":2,""verts"":[""N4"",""N5"",""N7""]}]","[{""dim"":0,""verts"":[""N7""]},{""dim"":0,""verts"":[""N4""]},{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N5""]},{""dim"":1,""verts"":[""N4"",""N7""]},{""dim"":1,""verts"":[""N4"",""N5""]},{""dim"":1,""verts"":[""N5"",""N9""]},{""dim"":1,""verts"":[""N5"",""N7""]},{""dim"":1,""verts"":[""N7"",""N9""]},{""dim"":2,""verts"":[""N5"",""N7"",""N9""]},{""dim"":2,""verts"":[""N4"",""N5"",""N7""]}]",-6.0,(-x^3 + 3*x^2 - 4*x)/(x^3 - 3*x^2 + 3*x - 1),"[4,4,10,14,28,26,54,52,78,76,130,100,180,150,200,200,304,222,378,296]","[4,4,10]"
44622,o9_44075,8.77865880317382,9,-1,,0.0,1.0,3.0,3.0,"[0, 0, 1]","[1, 1, 1]",0.0,2.0,"[1, 1, 2]",3.0,jLLvPQQcdeghiihhiqrqsjvcfkf,1.70294618606567,,0.707850217819214,67.2529680728912,"{""N10"":[0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0],""N3"":[0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0],""N6"":[0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0],""N11"":[2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0]}","{""N10"":2,""N3"":2,""N6"":2,""N11"":2}","[{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N10""]},{""dim"":1,""verts"":[""N3"",""N11""]}]","[{""dim"":0,""verts"":[""N6""]},{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N11""]},{""dim"":0,""verts"":[""N10""]},{""dim"":1,""verts"":[""N3"",""N11""]}]",-4.0,(-3*x^2 + 4*x)/(x^2 - 2*x + 1),"[4,1,2,2,4,2,6,4,6,4,10,4,12,6,8,8,16,6,18,8]","[4,1]"
44623,o9_44076,8.77865880317382,9,-1,,0.0,1.0,3.0,3.0,"[0, 1, 1]","[1, 1, 1]",0.0,2.0,"[1, 2, 3]",4.0,jLvLAQQbfheghhiiihdhdgrwgcv,0.446013927459717,,1.40412998199463,153.390238046646,"{""N12"":[0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0],""N9"":[0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0],""N0"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0],""N3"":[0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0],""N4"":[0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0],""N7"":[0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2]}","{""N12"":2,""N9"":2,""N0"":2,""N3"":2,""N4"":2,""N7"":2}","[{""dim"":0,""verts"":[""N7""]},{""dim"":1,""verts"":[""N0"",""N9""]},{""dim"":1,""verts"":[""N3"",""N4""]},{""dim"":1,""verts"":[""N0"",""N12""]}]","[{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N0""]},{""dim"":0,""verts"":[""N7""]},{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N4""]},{""dim"":0,""verts"":[""N3""]},{""dim"":1,""verts"":[""N0"",""N9""]},{""dim"":1,""verts"":[""N3"",""N4""]},{""dim"":1,""verts"":[""N0"",""N12""]}]",-2.0,(-3*x^2 + 6*x)/(x^2 - 2*x + 1),"[6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[6]
44633,o9_44089,8.7886213480335,9,-1,,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 4]",4.0,jLvLMQQbfhgghihgixeaxnvcvkn,0.389652967453003,,2.13730192184448,81.6081337928772,"{""N0"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0],""N1"":[0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,1,0],""N12"":[0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0],""N9"":[0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0],""N7"":[0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0]}","{""N0"":2,""N1"":2,""N12"":2,""N9"":2,""N7"":2}","[{""dim"":0,""verts"":[""N7""]},{""dim"":1,""verts"":[""N0"",""N9""]},{""dim"":1,""verts"":[""N0"",""N12""]},{""dim"":1,""verts"":[""N1"",""N9""]}]","[{""dim"":0,""verts"":[""N1""]},{""dim"":0,""verts"":[""N0""]},{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N7""]},{""dim"":0,""verts"":[""N9""]},{""dim"":1,""verts"":[""N0"",""N9""]},{""dim"":1,""verts"":[""N0"",""N12""]},{""dim"":1,""verts"":[""N1"",""N9""]}]",-2.0,(-2*x^2 + 5*x)/(x^2 - 2*x + 1),"[5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[5]
44635,o9_44093,8.7913922623943,9,-1,,0.0,2.0,2.0,2.0,"[0, 2]","[1, 1]",0.0,3.0,"[1, 3]",2.0,jLLLLQQbdfggfihiidwisowjssr,0.483970165252686,,1.29432201385498,156.986613988876,"{""N8"":[0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0],""N2"":[0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,0],""N17"":[2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0],""N6"":[0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0]}","{""N8"":2,""N2"":2,""N17"":2,""N6"":2}","[{""dim"":0,""verts"":[""N8""]},{""dim"":2,""verts"":[""N2"",""N6"",""N17""]}]","[{""dim"":0,""verts"":[""N2""]},{""dim"":0,""verts"":[""N8""]},{""dim"":0,""verts"":[""N17""]},{""dim"":0,""verts"":[""N6""]},{""dim"":1,""verts"":[""N6"",""N17""]},{""dim"":1,""verts"":[""N2"",""N6""]},{""dim"":1,""verts"":[""N2"",""N17""]},{""dim"":2,""verts"":[""N2"",""N6"",""N17""]}]",-2.0,(-2*x^3 + 5*x^2 - 7*x)/(x^3 - 3*x^2 + 3*x - 1),"[7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[7]
44636,o9_44096,8.79334560386499,9,-1,,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[4],3.0,jLLAvQQbcdeihhiihtsfxehxhit,5.48496699333191,,1.2171618938446,76.3541889190674,"{""N0"":[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0],""N13"":[0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0],""N2"":[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0],""N14"":[0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0]}","{""N0"":2,""N13"":3,""N2"":2,""N14"":3}","[{""dim"":1,""verts"":[""N13"",""N14""]},{""dim"":1,""verts"":[""N2"",""N14""]},{""dim"":1,""verts"":[""N0"",""N13""]}]","[{""dim"":0,""verts"":[""N2""]},{""dim"":0,""verts"":[""N13""]},{""dim"":0,""verts"":[""N0""]},{""dim"":0,""verts"":[""N14""]},{""dim"":1,""verts"":[""N13"",""N14""]},{""dim"":1,""verts"":[""N2"",""N14""]},{""dim"":1,""verts"":[""N0"",""N13""]}]",-6.0,(-x^2 + 3*x)/(x^2 - 2*x + 1),"[3,2,4,4,8,4,12,8,12,8,20,8,24,12,16,16,32,12,36,16]","[3,2,4]"
44638,o9_44102,8.79619479482884,9,-1,,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[3],2.0,jLLLAAQbefggfhiiihhdhlsrhei,3.82643890380859,,1.48081588745117,81.9373960494995,"{""N12"":[0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,0],""N1"":[0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0],""N4"":[0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0]}","{""N12"":3,""N1"":2,""N4"":2}","[{""dim"":1,""verts"":[""N4"",""N12""]},{""dim"":1,""verts"":[""N1"",""N12""]}]","[{""dim"":0,""verts"":[""N1""]},{""dim"":0,""verts"":[""N12""]},{""dim"":0,""verts"":[""N4""]},{""dim"":1,""verts"":[""N4"",""N12""]},{""dim"":1,""verts"":[""N1"",""N12""]}]",-6.0,(-x^2 + 2*x)/(x^2 - 2*x + 1),"[2,1,2,2,4,2,6,4,6,4,10,4,12,6,8,8,16,6,18,8]","[2,1,2]"
44651,o9_44127,8.80737352622075,9,-1,,0.0,1.0,2.0,2.0,"[0, 1]","[1, 1]",0.0,2.0,"[1, 2]",2.0,jLvLQAQcfgehhfiiillhitgopim,2.28001022338867,,0.736150026321411,25.4678509235382,"{""N0"":[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1],""N11"":[2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1],""N16"":[0,1,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,2,0,0,1,2,0,0]}","{""N0"":2,""N11"":2,""N16"":4}","[{""dim"":0,""verts"":[""N16""]},{""dim"":1,""verts"":[""N0"",""N11""]}]","[{""dim"":0,""verts"":[""N16""]},{""dim"":0,""verts"":[""N0""]},{""dim"":0,""verts"":[""N11""]},{""dim"":1,""verts"":[""N0"",""N11""]}]",-6.0,(-2*x^4 + 3*x^3 + 2*x^2 + 3*x)/(x^4 - x^3 - x + 1),"[3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[3,0,1]"
44655,o9_44142,8.82021780326568,9,-1,,0.0,1.0,1.0,1.0,[1],[1],0.0,2.0,[3],2.0,jLLLPAQacfhgghiiinkrljsqxhs,5.24146294593811,,0.836920976638794,49.8794770240784,"{""N12"":[1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2],""N9"":[1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2],""N3"":[0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0]}","{""N12"":3,""N9"":2,""N3"":2}","[{""dim"":1,""verts"":[""N3"",""N12""]},{""dim"":1,""verts"":[""N9"",""N12""]}]","[{""dim"":0,""verts"":[""N3""]},{""dim"":0,""verts"":[""N9""]},{""dim"":0,""verts"":[""N12""]},{""dim"":1,""verts"":[""N3"",""N12""]},{""dim"":1,""verts"":[""N9"",""N12""]}]",-6.0,(-x^2 + 2*x)/(x^2 - 2*x + 1),"[2,1,2,2,4,2,6,4,6,4,10,4,12,6,8,8,16,6,18,8]","[2,1,2]"
